test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
1;0.0;0.0;-0.74871;56.4162;4.64104e-05;0.00068852
2;0.1;0.001200000000000756;10.53889;59.18445217391283;4.8107486956521607e-05;0.000763248695652168
3;0.2;0.005840000000002732;49.78975;86.86697391304106;6.507835652173766e-05;0.0015105356521738478
4;0.3;0.012030000000002872;70.16531;114.54949565216933;8.204922608695371e-05;0.0022578226086955285
5;0.4;0.016500000000000625;92.39992;153.4700000000017;0.00012501993333333537;0.0031479111111111487
6;0.5;0.021790000000002863;136.19205;197.18833333333902;0.00015505633333333694;0.0036757233333333957
7;0.6;0.02652000000000143;179.92459;248.58111111110907;0.00016466827777777797;0.004205361111111091
8;0.7;0.03189000000000064;232.25089;295.2453888888898;0.0002122670000000017;0.004778413888888902
9;0.8;0.03651000000000337;278.26422;341.27344444443617;0.0002729375555555459;0.005697716666666488
10;0.9;0.0418900000000022;332.60104;397.29611111110955;0.0002542700000000029;0.006108650000000012
11;1.0;0.046570000000002665;380.74374;444.7273333333374;0.00026232459259259395;0.006611147407407456
12;1.1;0.05192000000000263;436.82227;511.92028888887114;0.0003207436592592453;0.00785610955555529
13;1.2;0.05654000000000181;486.11746;560.1580666666522;0.0003586555111110998;0.00857982066666645
14;1.3;0.061830000000000496;544.40045;622.0237407407363;0.0003879166296296275;0.009349788888888816
15;1.4;0.06671000000000049;599.2934;669.902999999999;0.00041150699999999943;0.010155699999999983
16;1.5;0.07171000000000305;655.77191;732.7424285714189;0.0004441256043955956;0.010764398901098775
17;1.6;0.07658000000000342;711.38983;798.3538444444376;0.0004781268888888862;0.011698064444444345
18;1.7;0.0817500000000031;770.66577;853.578274725271;0.000522556076923073;0.012504152747252693
19;1.8;0.08689999999999998;829.38654;898.6764736842115;0.0005458398345864665;0.013020647368421063
20;1.9;0.09165000000000134;883.58966;963.197404580138;0.0006067083358778577;0.013581993893129644
21;2.0;0.09671000000000163;941.58856;1020.5378625954176;0.0006256419236641214;0.01408138320610685
22;2.1;0.10167000000000215;998.36469;1085.1881818181741;0.0006337580909090887;0.01462623636363628
23;2.2;0.10694000000000159;1058.97607;1131.2927027026901;0.0006559491351351281;0.015276778378378184
24;2.3;0.1115300000000019;1111.34741;1172.071081081068;0.0006788680540540468;0.01590575135135115
25;2.4;0.11673000000000044;1170.85071;1234.8919402984927;0.0006982597462686467;0.016719033582089256
26;2.5;0.12149000000000143;1223.84631;1286.8376086956296;0.0007324188913043353;0.017691706521738862
27;2.6;0.12694000000000116;1284.61011;1338.7720224718962;0.0007559781235955002;0.018348221348314424
28;2.7;0.1314200000000021;1332.98645;1389.1677777777654;0.0007720592222222185;0.018753670370370287
29;2.8;0.13695000000000235;1394.61194;1450.869999999994;0.0007810654999999999;0.01945944999999991
30;2.9;0.14158000000000115;1444.98828;1503.998333333328;0.0008205326111111006;0.020978394444444173
31;3.0;0.146880000000003;1503.73096;1564.7866666666598;0.0008932917222222156;0.02220569999999992
32;3.1;0.1514400000000009;1553.84888;1619.5033333333195;0.0009224303333333293;0.02263286666666659
33;3.2;0.1568700000000014;1615.32849;1673.7644444444404;0.0009479154444444427;0.023381377777777726
34;3.3;0.16161000000000314;1667.83057;1730.7199999999934;0.0009796026666666622;0.024164377777777683
35;3.4;0.16678000000000281;1725.20532;1788.6755555555578;0.0009999111111111112;0.024759800000000016
36;3.5;0.17146000000000328;1776.64185;1838.0616666666667;0.0010047294444444444;0.02514660555555556
